epoch,step,train_loss,val_loss
0,222,1.0005894899368286,
1,445,,0.9982696175575256
1,445,0.9984734654426575,
2,668,,0.9982985854148865
2,668,0.9984857439994812,
3,891,,0.9984374642372131
3,891,0.9984775185585022,
4,1114,,0.9983078837394714
4,1114,0.9984244108200073,
5,1337,,0.9982656240463257
5,1337,0.9984416961669922,
6,1560,,0.998318612575531
6,1560,0.9984229803085327,
7,1783,,0.9982731342315674
7,1783,0.9984374642372131,
8,2006,,0.9982784390449524
8,2006,0.9984102845191956,
9,2229,,0.9982892274856567
9,2229,0.9984118342399597,
10,2452,,0.9982783794403076
10,2452,0.9984108209609985,
11,2675,,0.9983866810798645
11,2675,0.9984113574028015,
12,2898,,0.9983097910881042
12,2898,0.9983935356140137,
13,3121,,0.9982657432556152
13,3121,0.998386800289154,
14,3344,,0.9982655048370361
14,3344,0.9983828663825989,
15,3567,,0.9982655048370361
15,3567,0.9983923435211182,
16,3790,,0.9983125925064087
16,3790,0.9983677864074707,
17,4013,,0.9982715845108032
17,4013,0.9983961582183838,
18,4236,,0.9982664585113525
18,4236,0.9983938336372375,
19,4459,,0.9982666373252869
19,4459,0.9983868598937988,
20,4682,,0.998275101184845
20,4682,0.9983789920806885,
21,4905,,0.99826580286026
21,4905,0.9983688592910767,
22,5128,,0.998266339302063
22,5128,0.9983758330345154,
23,5351,,0.9982668161392212
23,5351,0.9983738660812378,
24,5574,,0.9982647895812988
24,5574,0.9983721971511841,
25,5797,,0.9982659816741943
25,5797,0.9983768463134766,
26,6020,,0.9982662796974182
26,6020,0.9983710050582886,
27,6243,,0.9982648491859436
27,6243,0.998370885848999,
28,6466,,0.9982646703720093
28,6466,0.9983701109886169,
29,6689,,0.9982646107673645
29,6689,0.9983751177787781,
30,6912,,0.9982645511627197
30,6912,0.9983725547790527,
31,7135,,0.9982646703720093
31,7135,0.9983713030815125,
32,7358,,0.9982645511627197
32,7358,0.9983690977096558,
33,7581,,0.9982643723487854
33,7581,0.9983694553375244,
34,7804,,0.9982646107673645
34,7804,0.9983696937561035,
35,8027,,0.9982645511627197
35,8027,0.9983705282211304,
36,8250,,0.9982662796974182
36,8250,0.9983710050582886,
37,8473,,0.9982645511627197
37,8473,0.9983693957328796,
38,8696,,0.9982646107673645
38,8696,0.9983693361282349,
39,8919,,0.9982646107673645
39,8919,0.9983682632446289,
40,9142,,0.9982646703720093
40,9142,0.9983682632446289,
41,9365,,0.998264491558075
41,9365,0.9983686804771423,
42,9588,,0.9982646703720093
42,9588,0.998367965221405,
43,9811,,0.9982645511627197
43,9811,0.9983685612678528,
44,10034,,0.9982643723487854
44,10034,0.9983673095703125,
45,10257,,0.9982643723487854
45,10257,0.9983675479888916,
46,10480,,0.9982646107673645
46,10480,0.9983669519424438,
47,10703,,0.998264491558075
47,10703,0.9983675479888916,
48,10926,,0.998264491558075
48,10926,0.9983668923377991,
49,11149,,0.9982646703720093
49,11149,0.998367428779602,
50,11372,,0.9982645511627197
50,11372,0.998367190361023,
51,11595,,0.9982645511627197
51,11595,0.9983668923377991,
52,11818,,0.9982646107673645
52,11818,0.998367428779602,
53,12041,,0.9982645511627197
53,12041,0.9983669519424438,
54,12264,,0.9982643723487854
54,12264,0.9983672499656677,
55,12487,,0.9982645511627197
55,12487,0.9983668923377991,
56,12710,,0.9982643127441406
56,12710,0.9983664751052856,
57,12933,,0.9982646107673645
57,12933,0.9983667731285095,
58,13156,,0.9982643127441406
58,13156,0.99836665391922,
59,13379,,0.998264491558075
59,13379,0.9983669519424438,
60,13602,,0.998264491558075
60,13602,0.9983665943145752,
61,13825,,0.9982643127441406
61,13825,0.9983667731285095,
62,14048,,0.9982645511627197
62,14048,0.9983668327331543,
63,14271,,0.9982643127441406
63,14271,0.9983667731285095,
64,14494,,0.9982643127441406
64,14494,0.9983665943145752,
65,14717,,0.9982643723487854
65,14717,0.9983667135238647,
66,14940,,0.9982643723487854
66,14940,0.99836665391922,
67,15163,,0.9982645511627197
67,15163,0.9983664751052856,
68,15386,,0.998264491558075
68,15386,0.9983667731285095,
69,15609,,0.9982643127441406
69,15609,0.9983668327331543,
70,15832,,0.9982643127441406
70,15832,0.9983665943145752,
71,16055,,0.998264491558075
71,16055,0.9983667135238647,
72,16278,,0.9982643127441406
72,16278,0.9983664751052856,
73,16501,,0.9982642531394958
73,16501,0.9983667731285095,
74,16724,,0.9982643127441406
74,16724,0.9983667731285095,
75,16947,,0.9982642531394958
75,16947,0.9983667135238647,
76,17170,,0.9982643127441406
76,17170,0.9983667731285095,
77,17393,,0.9982643127441406
77,17393,0.9983669519424438,
78,17616,,0.9982643127441406
78,17616,0.99836665391922,
79,17839,,0.9982642531394958
79,17839,0.99836665391922,
80,18062,,0.9982643127441406
80,18062,0.9983668923377991,
81,18285,,0.9982642531394958
81,18285,0.99836665391922,
82,18508,,0.9982643127441406
82,18508,0.9983664751052856,
83,18731,,0.9982643723487854
83,18731,0.9983663558959961,
84,18954,,0.9982643127441406
84,18954,0.9983664751052856,
85,19177,,0.9982643723487854
85,19177,0.9983664751052856,
86,19400,,0.9982642531394958
86,19400,0.99836665391922,
87,19623,,0.9982643127441406
87,19623,0.9983664751052856,
88,19846,,0.9982643127441406
88,19846,0.9983665943145752,
89,20069,,0.9982643127441406
89,20069,0.9983667731285095,
90,20292,,0.9982642531394958
90,20292,0.9983669519424438,
91,20515,,0.9982643127441406
91,20515,0.9983670711517334,
92,20738,,0.9982643723487854
92,20738,0.9983667731285095,
93,20961,,0.9982643127441406
93,20961,0.9983667135238647,
94,21184,,0.9982643127441406
94,21184,0.9983662962913513,
95,21407,,0.9982643723487854
95,21407,0.9983667135238647,
96,21630,,0.9982643127441406
96,21630,0.9983665943145752,
97,21853,,0.9982643127441406
97,21853,0.9983662366867065,
98,22076,,0.9982643127441406
98,22076,0.9983664751052856,
99,22299,,0.9982643127441406
99,22299,0.9983662962913513,
100,22522,,0.9982643127441406
100,22522,0.9983664751052856,
101,22745,,0.9982643723487854
101,22745,0.9983665943145752,
102,22968,,0.9982642531394958
102,22968,0.9983663558959961,
103,23191,,0.9982642531394958
103,23191,0.9983667731285095,
104,23414,,0.9982642531394958
104,23414,0.9983664751052856,
105,23637,,0.9982643127441406
105,23637,0.9983659982681274,
106,23860,,0.9982643127441406
106,23860,0.9983662962913513,
107,24083,,0.9982642531394958
107,24083,0.9983665943145752,
108,24306,,0.9982643127441406
108,24306,0.9983664155006409,
109,24529,,0.9982643127441406
109,24529,0.9983664155006409,
110,24752,,0.9982643127441406
110,24752,0.9983662962913513,
111,24975,,0.9982643127441406
111,24975,0.9983663558959961,
112,25198,,0.9982643127441406
112,25198,0.9983663558959961,
113,25421,,0.9982642531394958
113,25421,0.9983661770820618,
114,25644,,0.9982643127441406
114,25644,0.99836665391922,
115,25867,,0.9982643127441406
115,25867,0.9983664155006409,
116,26090,,0.9982643127441406
116,26090,0.9983664155006409,
117,26313,,0.9982643127441406
117,26313,0.9983662962913513,
118,26536,,0.9982643127441406
118,26536,0.9983667135238647,
119,26759,,0.9982643127441406
119,26759,0.9983663558959961,
120,26982,,0.998264491558075
120,26982,0.9983664751052856,
121,27205,,0.9982643127441406
121,27205,0.9983664155006409,
122,27428,,0.9982643127441406
122,27428,0.9983660578727722,
123,27651,,0.998264491558075
123,27651,0.99836665391922,
124,27874,,0.9982643127441406
124,27874,0.9983665943145752,
125,28097,,0.9982642531394958
125,28097,0.9983661770820618,
126,28320,,0.9982643723487854
126,28320,0.99836665391922,
127,28543,,0.9982643127441406
127,28543,0.99836665391922,
128,28766,,0.9982643127441406
128,28766,0.99836665391922,
129,28989,,0.9982643723487854
129,28989,0.9983660578727722,
130,29212,,0.9982642531394958
130,29212,0.9983664155006409,
131,29435,,0.9982643723487854
131,29435,0.99836665391922,
132,29658,,0.9982643723487854
132,29658,0.9983667731285095,
133,29881,,0.9982643127441406
133,29881,0.9983662962913513,
134,30104,,0.9982643127441406
134,30104,0.9983662366867065,
135,30327,,0.9982643127441406
135,30327,0.9983664751052856,
136,30550,,0.9982643127441406
136,30550,0.9983668327331543,
137,30773,,0.9982643127441406
137,30773,0.9983665943145752,
138,30996,,0.9982643127441406
138,30996,0.9983659982681274,
139,31219,,0.998264491558075
139,31219,0.9983660578727722,
140,31442,,0.9982643127441406
140,31442,0.9983665943145752,
141,31665,,0.998264491558075
141,31665,0.9983664751052856,
142,31888,,0.9982643127441406
142,31888,0.9983667135238647,
143,32111,,0.9982643723487854
143,32111,0.9983665943145752,
144,32334,,0.9982643127441406
144,32334,0.9983663558959961,
145,32557,,0.9982643127441406
145,32557,0.9983667731285095,
146,32780,,0.9982643127441406
146,32780,0.99836665391922,
147,33003,,0.9982643127441406
147,33003,0.9983664155006409,
148,33226,,0.998264491558075
148,33226,0.9983662366867065,
149,33449,,0.998264491558075
149,33449,0.99836665391922,
150,33672,,0.9982643127441406
150,33672,0.9983665943145752,
151,33895,,0.9982643127441406
151,33895,0.9983661770820618,
152,34118,,0.9982643127441406
152,34118,0.99836665391922,
153,34341,,0.9982643127441406
153,34341,0.9983667135238647,
154,34564,,0.9982643127441406
154,34564,0.9983668923377991,
155,34787,,0.9982643127441406
155,34787,0.9983664155006409,
156,35010,,0.9982643127441406
156,35010,0.9983664155006409,
157,35233,,0.9982643127441406
157,35233,0.9983667135238647,
158,35456,,0.9982643127441406
158,35456,0.9983662962913513,
159,35679,,0.9982643127441406
159,35679,0.9983663558959961,
160,35902,,0.9982643127441406
160,35902,0.9983667135238647,
161,36125,,0.9982643127441406
161,36125,0.9983659982681274,
162,36348,,0.998264491558075
162,36348,0.9983661770820618,
163,36571,,0.9982642531394958
163,36571,0.9983667731285095,
164,36794,,0.9982643127441406
164,36794,0.9983664155006409,
165,37017,,0.9982642531394958
165,37017,0.99836665391922,
166,37240,,0.9982643127441406
166,37240,0.9983667135238647,
167,37463,,0.9982643127441406
167,37463,0.9983664155006409,
168,37686,,0.9982643127441406
168,37686,0.9983660578727722,
169,37909,,0.9982643127441406
169,37909,0.9983663558959961,
170,38132,,0.9982643127441406
170,38132,0.9983664155006409,
171,38355,,0.9982643127441406
171,38355,0.9983667135238647,
172,38578,,0.9982643127441406
172,38578,0.9983664155006409,
173,38801,,0.998264491558075
173,38801,0.9983664155006409,
